ano,tipoProposicao,numero,ementa,tipo_veto,tipo_veto_conflito,resultado_rotulo,resultado_fonte,pergunta_invertida,data_votacao,votacao_materia,votos_sim,votos_nao,abstencoes,fonte,na_janela_de_coleta,documento_id
2015,PL,267,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2015,PL,394,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2015,PL,547,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2016,PL,1057,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2016,PL,1214,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2016,PL,932,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2017,PL,1738,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2018,PL,1955,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2018,PL,2084,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2018,PL,2125,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2019,PL,102,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2019,PL,121,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,141,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2019,PL,201,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2019,PL,217,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,259,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,27,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,353,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,nao,2025-12-03,BLOCO DE VETOS DE 03/12/2025,0,17,0,painel,nao,
2019,PL,372,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,411,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2019,PL,416,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,438,,total,nao,APROVADOREDAÇÃO FINAL APROVADA,painel_resultado_rotulo,nao,2023-04-04,VETO TOTAL PROJETO DE LEI Nº 438/2019,19,0,0,painel,nao,
2019,PL,439,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,sim,2026-04-29,BLOCO DE VETOS 29/04/2026 - PELA REJEIÇÃO,0,17,0,painel,nao,
2019,PL,449,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2019,PL,450,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2019,PL,455,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,510,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2019,PL,525,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2019,PL,547,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,559,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2019,PL,665,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2019,PL,670,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
